Number,Name,Energy_per_100g,Total_energy_on_plate,image
321,Pizza margarita,251,NA,321.jpg
322,French fries with ketchup,267.988,NA,322.jpg
323,Pretzels with cheese,226,NA,323.jpg
324,Pretzels with salt,246,NA,324.jpg
325,Raisin bun,250,NA,325.jpg
326,Mixed nuts,639,NA,326.jpg
327,"Sandwich meat, Turkey fillet",113,NA,327.jpg
328,"Ham, lean, boiled",136,NA,328.jpg
329,"Roast beef, prepared",156,NA,329.jpg
330,"Chicken fillet, prepared",158,NA,330.jpg
331,"Chicken fillet, prepared",158,NA,331.jpg
332,Beef rump steak prepared,146,NA,332.jpg
333,"Cod fillet, fried/simmered",118,NA,333.jpg
334,"Pork rib  chop, prepared",177,NA,334.jpg
335,Dried plums,NA,NA,335.jpg
336,Chocolate cereal bar,NA,NA,336.jpg
337,Sesame bar,NA,NA,337.jpg
338,Sesame bar,NA,NA,338.jpg
339,Mastiha turkish delight,NA,NA,339.jpg
340,Jelly peach flavour,NA,NA,340.jpg
341,Crackers with jam,NA,NA,341.jpg
342,Aubergine sweet home made,NA,NA,342.jpg
343,Apple and cinnamon strudel,NA,NA,343.jpg
344,Ladyfinger biscuits,NA,NA,344.jpg
345,Miranda biscuits,NA,NA,345.jpg
346,Carrot cookies,NA,NA,346.jpg
347,Mediterranean crackers sesame flavour,NA,NA,347.jpg
348,Turkey on krispies,NA,NA,348.jpg
349,Okra with tomato sauce,NA,NA,349.jpg
350,Olive paste on krispies,NA,NA,350.jpg
351,Sardines,NA,NA,351.jpg
352,Halva with almond,NA,NA,352.jpg
353,Cake with chocolate filling,NA,NA,353.jpg
354,Profiterol,NA,NA,354.jpg
355,Oreo biscuits,NA,NA,355.jpg
356,Doughnut with sugar,NA,NA,356.jpg
357,Malteasers,NA,NA,357.jpg
358,Chocolate cake with milk filling,NA,NA,358.jpg
359,Sweet almond bar,NA,NA,359.jpg
360,Super jelly pop strawberry,NA,NA,360.jpg
361,Chocolate cream wafers,NA,NA,361.jpg
362,Butter candies,NA,NA,362.jpg
363,Must cookies,NA,NA,363.jpg
364,Mini croissant with chocolate filling,NA,NA,364.jpg
365,Pitsinia (bacon- cheese snack),NA,NA,365.jpg
366,Mixed nuts,639,NA,366.jpg
367,Doritos nacho,NA,NA,367.jpg
368,Peinirli,NA,NA,368.jpg
369,Mini cheese pies,NA,NA,369.jpg
370,Sausage rolls,NA,NA,370.jpg
371,Cheese and corn snack,NA,NA,371.jpg
372,Meat balls in tomato sauce,NA,NA,372.jpg
373,Bake rolls,NA,NA,373.jpg
374,Parizaki,NA,NA,374.jpg
375,Greek sausages,NA,NA,375.jpg
376,Mini croissant with chocolate filling,NA,NA,376.jpg
377,Smarties 2,465,NA,377.jpg
